source,target,type
"com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Controller.AppointmentController","com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Entity.Appointment","IMPORTS"
"com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Controller.AppointmentController","com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Services.AppointmentService","IMPORTS"
"com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Controller.AuthController","com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Entity.UserEntity","IMPORTS"
"com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Controller.AuthController","com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Model.UserModel","IMPORTS"
"com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Controller.AuthController","com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Services.LoginService","IMPORTS"
"com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Controller.AuthController","com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Services.RegisterService","IMPORTS"
"com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Controller.demo","com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Model.StudentRequest","IMPORTS"
"com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Controller.DoctorController","com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Entity.Doctor","IMPORTS"
"com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Controller.DoctorController","com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Services.DoctorService","IMPORTS"
"com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Controller.PatientController","com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Entity.Patient","IMPORTS"
"com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Controller.PatientController","com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Services.PatientService","IMPORTS"
"com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Repository.AppointmentRepo","com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Entity.Appointment","IMPORTS"
"com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Repository.DoctorRepo","com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Entity.Doctor","IMPORTS"
"com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Repository.PatientRepo","com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Entity.Patient","IMPORTS"
"com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Repository.testRepo","com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Entity.Student","IMPORTS"
"com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Repository.UserRepo","com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Entity.UserEntity","IMPORTS"
"com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Services.AppointmentService","com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Entity.Appointment","IMPORTS"
"com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Services.AppointmentService","com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Repository.AppointmentRepo","IMPORTS"
"com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Services.DoctorService","com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Entity.Doctor","IMPORTS"
"com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Services.DoctorService","com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Repository.DoctorRepo","IMPORTS"
"com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Services.LoginService","com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Entity.UserEntity","IMPORTS"
"com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Services.LoginService","com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Repository.UserRepo","IMPORTS"
"com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Services.PatientService","com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Entity.Patient","IMPORTS"
"com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Services.PatientService","com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Repository.PatientRepo","IMPORTS"
"com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Services.PatientService","com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Repository.UserRepo","IMPORTS"
"com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Services.RegisterService","com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Entity.UserEntity","IMPORTS"
"com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Services.RegisterService","com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Model.UserModel","IMPORTS"
"com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Services.RegisterService","com.OnlineDoctorAppointmentSystem.DoctorAppointmentSystem.Repository.UserRepo","IMPORTS"
